what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.RegisterView",1331500507345
closed,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.ModuleView",1331500507348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500510972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500515571
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500515607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500517712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500546045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500548748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500590269
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1331500591644
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1331500592867
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1331500596814
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1331500597999
activated,perspective,com.trolltech.qtcppproject,1.6.1,"com.trolltech.qtcppproject.QtCppPerspective",1331500601400
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500604253
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500621630
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1331500637378
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500638549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331500642527
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500655291
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500666813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500667912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500670666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500672391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331500672509
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331500674880
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500675963
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500677144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500691145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500699922
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500722361
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500724609
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500725648
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500727554
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500734339
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500736448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500741899
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331500746523
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500748735
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500749816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500756001
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331500761322
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500762503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500764601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500767890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500778825
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331500780041
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331500787488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331500789817
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331503756898
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331503764195
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331503776353
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331503779919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331503819809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331528028943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331528035140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331528038735
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331528038867
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331528038867
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1331528045724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331528053046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331528222708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331528229336
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1331528230359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331528230359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331528230374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331528236454
activated,editor,com.trolltech.qtcppproject,1.6.1,"com.trolltech.qtcppproject.editors.ProEditor",1331528242758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331528242875
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331528242942
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331528242992
activated,editor,com.trolltech.qtcppproject,1.6.1,"com.trolltech.qtcppproject.editors.ProEditor",1331528245628
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331528246311
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1331528247373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331528266200
